L,h,T,E,C,FM,Xfm,AFM,Xafm
32,0,5.056000,-0.423195,0.095988,0.000066,0.099824,0.000442,0.558774
32,0,4.977000,-0.430664,0.098109,0.000083,0.099011,0.000524,0.575897
32,0,4.898000,-0.438642,0.102846,0.000079,0.100388,0.000426,0.601440
32,0,4.819000,-0.447129,0.105791,0.000076,0.101086,0.000267,0.631363
32,0,4.740000,-0.455592,0.110951,0.000058,0.101652,0.000286,0.648059
32,0,4.661000,-0.464717,0.115126,0.000065,0.102776,0.000433,0.693536
32,0,4.582000,-0.473145,0.121675,0.000045,0.102003,0.000562,0.711311
32,0,4.503000,-0.483510,0.125700,0.000056,0.103325,0.000387,0.754584
32,0,4.424000,-0.493636,0.130991,0.000076,0.103735,0.000421,0.790079
32,0,4.345000,-0.504238,0.138044,0.000056,0.103844,0.000371,0.826097
32,0,4.266000,-0.514954,0.145565,0.000059,0.104254,0.000401,0.875309
32,0,4.187000,-0.527649,0.151260,0.000070,0.104825,0.000423,0.919689
32,0,4.108000,-0.538922,0.161077,0.000053,0.106290,0.000461,0.988607
32,0,4.029000,-0.552890,0.169579,0.000057,0.106330,0.000687,1.048883
32,0,3.950000,-0.566458,0.176661,0.000046,0.105746,0.000622,1.116481
32,0,3.871000,-0.580768,0.186505,0.000052,0.107194,0.000588,1.197454
32,0,3.792000,-0.595465,0.199229,0.000071,0.105022,0.000618,1.275199
32,0,3.713000,-0.610908,0.211316,0.000063,0.106586,0.000755,1.381459
32,0,3.634000,-0.628066,0.224206,0.000079,0.107141,0.001388,1.501654
32,0,3.555000,-0.646425,0.236377,0.000084,0.107132,0.000886,1.642057
32,0,3.476000,-0.666762,0.251141,0.000056,0.107861,0.001199,1.813894
32,0,3.397000,-0.687072,0.273687,0.000039,0.107234,0.000957,1.991636
32,0,3.318000,-0.708785,0.287496,0.000067,0.107873,0.001400,2.240433
32,0,3.239000,-0.733846,0.312338,0.000055,0.107309,0.001205,2.545262
32,0,3.160000,-0.757828,0.335685,0.000046,0.106006,0.002150,2.817471
32,0,3.081000,-0.786190,0.367168,0.000042,0.104834,0.001639,3.264642
32,0,3.002000,-0.817203,0.402721,0.000064,0.104878,0.001888,3.830667
32,0,2.923000,-0.849729,0.437612,0.000083,0.104186,0.003110,4.602001
32,0,2.844000,-0.886594,0.478162,0.000057,0.103079,0.005002,5.677440
32,0,2.765000,-0.926840,0.537281,0.000039,0.101379,0.002205,7.229518
32,0,2.686000,-0.971355,0.607322,0.000047,0.099649,0.004737,9.545546
32,0,2.607000,-1.023204,0.691695,0.000070,0.096675,0.007079,13.321832
32,0,2.528000,-1.082670,0.826718,0.013615,20.014733,0.000066,0.092941
32,0,2.449000,-1.154055,1.049456,0.022584,35.683376,0.000077,0.088979
32,0,2.370000,-1.257628,1.520854,0.057725,80.813142,0.000038,0.081993
32,0,2.291000,-1.383245,1.944154,0.225315,137.256470,0.000035,0.072168
32,0,2.212000,-1.527733,1.348114,0.704358,38.755936,0.000013,0.060065
32,0,2.133000,-1.625022,1.077744,0.845353,1.390776,0.000053,0.052750
32,0,2.054000,-1.704594,0.825338,0.891718,0.550757,0.000035,0.046024
32,0,1.975000,-1.762643,0.686126,0.919228,0.314413,0.000014,0.039696
32,0,1.896000,-1.812653,0.555453,0.939781,0.186793,0.000056,0.034123
32,0,1.817000,-1.851640,0.456667,0.954170,0.122555,0.000045,0.028853
32,0,1.738000,-1.884876,0.372486,0.965694,0.081862,0.000041,0.024190
32,0,1.659000,-1.911166,0.307384,0.974275,0.057328,0.000006,0.020452
32,0,1.580000,-1.933458,0.244143,0.981228,0.038390,0.000010,0.016488
32,0,1.501000,-1.950941,0.198203,0.986439,0.027394,0.000012,0.013180
32,0,1.422000,-1.964883,0.153914,0.990483,0.018568,0.000022,0.010324
32,0,1.343000,-1.975533,0.118898,0.993465,0.012819,0.000006,0.007870
32,0,1.264000,-1.983650,0.087971,0.995693,0.008445,0.000002,0.005647
32,0,1.185000,-1.989577,0.062840,0.997287,0.005392,0.000011,0.003929
32,0,1.106000,-1.993712,0.043179,0.998380,0.003332,0.000003,0.002636
32,0,1.027000,-1.996472,0.027835,0.999097,0.001943,0.000004,0.001618
32,0,0.948000,-1.998192,0.016516,0.999541,0.001034,0.000001,0.000920
32,0,0.869000,-1.999176,0.008769,0.999792,0.000495,0.000001,0.000458
32,0,0.790000,-1.999673,0.004232,0.999918,0.000214,0.000001,0.000204
32,0,0.711000,-1.999896,0.001675,0.999974,0.000076,0.000002,0.000073
32,0,0.632000,-1.999973,0.000544,0.999993,0.000022,0.000000,0.000021
32,0,0.553000,-1.999997,0.000091,0.999999,0.000003,0.000000,0.000003
32,0,0.474000,-2.000000,0.000013,1.000000,0.000000,0.000000,0.000000
32,0,0.395000,-2.000000,0.000000,1.000000,0.000000,0.000000,0.000000
32,0,0.316000,-2.000000,0.000000,1.000000,0.000000,0.000000,0.000000
32,0,0.237000,-2.000000,0.000000,1.000000,0.000000,0.000000,0.000000
32,0,0.158000,-2.000000,0.000000,1.000000,0.000000,0.000000,0.000000
32,0,0.079000,-2.000000,0.000000,1.000000,0.000000,0.000000,0.000000
32,0,5.056000,-0.422862,0.095690,0.000336,0.556099,0.000083,0.098993
32,0,4.977000,-0.430302,0.099361,0.000416,0.576311,0.000048,0.099970
